Time (seconds),strength
0.87,1024
0.98,1019
1.09,1026
1.20,1031
1.30,1031
1.41,1023
1.52,2250
1.63,1114
1.73,984
1.84,886
1.95,887
2.06,1041
2.17,1068
2.27,1033
2.38,1000
2.49,1002
2.60,817
2.70,1083
2.81,1003
2.92,947
3.03,1080
3.14,1030
3.25,1014
3.35,1026
3.49,986
3.60,982
3.70,1029
3.81,958
3.92,1065
4.03,788
4.14,1022
4.24,1058
4.35,967
4.46,1064
4.57,761
4.68,1042
4.78,943
4.89,1200
5.00,923
5.11,1102
5.22,891
5.32,1019
5.43,1175
5.54,892
5.64,954
5.75,1035
5.86,1100
5.97,1151
6.08,908
6.18,887
6.29,694
6.43,822
6.54,963
6.64,1111
6.75,1070
6.86,1093
6.97,737
7.08,909
7.19,1189
7.29,1308
7.40,1146
7.51,841
7.62,1132
7.72,841
7.83,1169
7.94,972
8.05,1251
8.16,1023
8.26,2504
8.37,994
8.48,1060
8.59,1032
8.70,982
8.80,1003
8.91,1104
9.02,1072
9.12,1039
9.23,1467
9.37,839
9.48,957
9.58,2370
9.69,770
9.80,1000
9.91,1001
10.02,1032
10.12,1037
10.23,1341
10.34,1062
10.45,972
10.56,1048
10.67,1006
10.77,1006
10.88,996
10.99,1008
11.10,1000
11.21,1006
11.31,980
11.42,974
11.53,825
11.64,1623
11.74,1728
11.85,1083
12.01,1021
12.12,1363
12.23,1079
12.34,1032
12.44,1021
12.55,930
12.66,749
12.77,1258
12.88,1090
12.98,1303
13.09,1228
13.20,1049
13.31,979
13.42,1021
13.52,1011
13.63,1029
13.74,1021
13.85,1029
13.96,1021
14.06,1002
14.17,1011
14.28,1004
14.39,1029
14.50,1012
14.63,1045
14.74,1007
14.85,1010
14.96,1007
15.06,1006
15.17,1004
15.28,1013
15.39,1059
15.50,1014
15.60,993
15.71,950
15.82,1012
15.93,1033
16.04,1017
16.14,1025
16.25,1002
16.36,1292
16.47,871
16.58,1015
16.68,993
16.79,1002
16.90,1016
17.01,1019
17.12,1019
17.25,1014
17.36,1007
17.46,1007
17.57,1006
17.68,1005
17.79,1005
17.90,1007
18.00,1012
18.11,1002
18.22,1008
18.33,1010
18.44,1020
18.54,1011
18.65,1019
18.76,1009
18.87,1016
18.98,1025
19.08,989
19.19,1013
19.30,997
19.41,1006
19.52,1015
19.62,1014
19.76,1009
19.87,1008
19.98,1002
20.08,1010
20.19,1016
20.30,1011
20.41,1010
20.52,1010
20.63,1015
20.73,1001
20.84,1017
20.95,1020
21.06,1014
21.17,1002
21.27,1017
21.38,1016
21.49,1023
21.60,1011
21.70,1012
21.81,1014
21.92,1011
22.03,1017
22.14,1006
22.30,1009
22.40,1014
22.51,1008
22.62,1009
22.73,1019
22.84,1012
22.94,1001
23.05,1011
23.16,1002
23.27,1011
23.38,1008
23.48,1009
23.59,1005
23.70,1005
23.81,1006
23.92,1007
24.02,1021
24.13,1018
24.24,1013
24.35,1016
24.46,1002
24.56,996
24.67,1015
24.78,1027
24.92,1005
25.02,1011
25.13,1006
25.24,1006
25.35,998
25.46,1006
25.56,1015
25.67,1002
25.78,1004
25.89,1011
26.00,1005
26.10,1020
26.21,1000
26.32,1008
26.43,1004
26.54,1006
26.64,1001
26.75,1006
26.86,1002
26.97,1010
27.08,1017
27.18,1004
27.29,1004
27.43,1006
27.54,1011
27.64,1014
27.75,1016
27.86,1005
27.96,1008
28.07,1009
28.18,1016
28.29,1010
28.40,1001
28.50,1013
28.61,1010
28.72,1007
28.83,998
28.94,1011
29.04,1004
29.15,1006
29.26,995
29.37,1010
29.48,1000
29.58,1005
29.69,1007
29.80,1014
29.94,1013
30.05,994
30.15,1015
30.26,1008
30.37,1009
30.48,1014
30.59,1001
30.69,1016
30.80,999
30.91,973
31.02,972
31.13,993
31.23,970
31.34,996
31.45,998
31.56,1010
31.66,1004
31.77,1010
31.88,1002
31.99,1001
32.10,1002
32.20,1017
32.31,998
32.42,999
32.53,1026
32.69,1009
32.80,1002
32.90,1002
33.01,1007
33.12,1005
33.23,1013
33.34,1006
33.44,998
33.55,1014
33.66,1011
33.77,1009
33.88,1011
33.98,1010
34.09,1013
34.20,1014
34.31,1005
34.42,1012
34.52,1022
34.63,1004
34.74,1003
34.85,999
34.96,1001
35.06,1008
35.20,1007
35.31,999
35.42,1004
35.52,1007
35.63,1007
35.74,1007
35.85,1009
35.96,1003
36.06,1002
36.17,1005
36.28,1010
36.39,1001
36.50,1011
36.60,1006
36.71,1003
36.82,1009
36.93,1008
37.04,1005
37.14,1006
37.25,1009
37.36,1005
37.47,1006
37.58,1012
37.71,1012
37.82,1009
37.93,1012
38.04,1009
38.14,1009
38.25,998
38.36,1017
38.47,1008
38.58,1019
38.69,1000
38.79,1016
38.90,1015
39.01,1004
39.12,1009
39.23,1012
39.33,1002
